Gene name,Gene stable ID
snoZ6,ENSG00000264452
PVT1_3,ENSG00000278324
U6,ENSG00000283502
RN7SL836P,ENSG00000241226
RNU2-44P,ENSG00000252604
MIR6832,ENSG00000274494
Y_RNA,ENSG00000265896
MIR4659B,ENSG00000283386
Six3os1_1,ENSG00000274520
TP53TG1_1,ENSG00000273623
U6,ENSG00000264185
5_8S_rRNA,ENSG00000283568
U1,ENSG00000273768
Vault,ENSG00000252328
RNU6-673P,ENSG00000201954
RN7SL221P,ENSG00000239472
RNU6-2,ENSG00000207357
MIR1202,ENSG00000221456
MIR302C,ENSG00000199102
RNA5SP236,ENSG00000251978
MIR4435-1,ENSG00000265507
KCNQ1OT1_3,ENSG00000276494
MIR4633,ENSG00000264563
RNU6-1179P,ENSG00000207397
MIR2054,ENSG00000283550
Y_RNA,ENSG00000202388
MIR6806,ENSG00000277588
Y_RNA,ENSG00000207342
MIR6089,ENSG00000277120
RN7SL229P,ENSG00000242811
MIR4277,ENSG00000263746
SCARNA20,ENSG00000251818
Metazoa_SRP,ENSG00000277136
RNU2-64P,ENSG00000223247
RNA5SP508,ENSG00000223259
MIR1281,ENSG00000284015
U6,ENSG00000277546
MIR1283-1,ENSG00000221421
RNU1-7P,ENSG00000200975
RNU2-13P,ENSG00000251718
MIR7151,ENSG00000276866
Y_RNA,ENSG00000200591
RNA5SP94,ENSG00000252726
MIR4293,ENSG00000266321
RNU7-67P,ENSG00000239115
RNU6-572P,ENSG00000252533
TARM1,ENSG00000275806
U8,ENSG00000199713
RNU5E-6P,ENSG00000202444
MIR3137,ENSG00000265333
TUG1_2,ENSG00000276057
MIR548AE1,ENSG00000266808
SNORA30,ENSG00000206755
RNA5SP37,ENSG00000202290
MIR4273,ENSG00000266396
RNA5SP107,ENSG00000223290
Y_RNA,ENSG00000202410
MIR154,ENSG00000207978
Y_RNA,ENSG00000200011
Y_RNA,ENSG00000206738
RNU6-519P,ENSG00000222522
RNU6-10P,ENSG00000206763
SNORD92,ENSG00000264994
RN7SKP178,ENSG00000201875
SNORD46,ENSG00000201009
RN7SL123P,ENSG00000266863
MIR3917,ENSG00000283938
MIR1183,ENSG00000221783
RNU5B-4P,ENSG00000200378
TFPT,ENSG00000278161
MIR5696,ENSG00000264857
MIR3175,ENSG00000284324
SCARNA11,ENSG00000252727
Y_RNA,ENSG00000200982
MIR3913-2,ENSG00000283677
DLG2-AS1_1,ENSG00000274006
RN7SKP293,ENSG00000223321
JPX_1,ENSG00000274430
RNU5A-6P,ENSG00000206863
SNORD32B,ENSG00000265634
Xist_exon1,ENSG00000278039
uc_338,ENSG00000277826
RNA5SP109,ENSG00000212312
5S_rRNA,ENSG00000278779
SNORA1,ENSG00000199405
SNORA43,ENSG00000253049
SCARNA21,ENSG00000251866
TCEAL9,ENSG00000185222
RN7SL741P,ENSG00000242381
Y_RNA,ENSG00000200494
RNU6-107P,ENSG00000252452
RN7SL659P,ENSG00000244104
Y_RNA,ENSG00000274754
SNORD30,ENSG00000212611
RNU4-91P,ENSG00000201648
RN7SL278P,ENSG00000243365
MIR8052,ENSG00000274999
SNORA38,ENSG00000263994
snoMe28S-Am2634,ENSG00000283584
SNORA16B,ENSG00000201544
RN7SL107P,ENSG00000243424
RNU6-657P,ENSG00000206631
RNU6-737P,ENSG00000202240
uc_338,ENSG00000278236
RNU7-28P,ENSG00000252568
uc_338,ENSG00000275939
Y_RNA,ENSG00000252254
RNU4-63P,ENSG00000223245
MIR8089,ENSG00000277912
RN7SKP117,ENSG00000276134
MIR5739,ENSG00000276162
SNORA40,ENSG00000212273
MIR519B,ENSG00000207825
RN7SL160P,ENSG00000241159
MIRLET7E,ENSG00000198972
MIR6838,ENSG00000283969
Y_RNA,ENSG00000274046
MIR6073,ENSG00000284094
MIR6727,ENSG00000283712
SNORD45A,ENSG00000207241
SNORD116,ENSG00000212553
snoU13,ENSG00000238906
RNA5SP279,ENSG00000202383
RNU4-58P,ENSG00000200062
U6,ENSG00000266886
SNORA41,ENSG00000207516
Y_RNA,ENSG00000200600
RN7SL584P,ENSG00000239471
Y_RNA,ENSG00000199630
MIR548A3,ENSG00000208032
SNORD38,ENSG00000207109
MIR1305,ENSG00000221227
RNU6-796P,ENSG00000212388
snoU2_19,ENSG00000199231
MIR296,ENSG00000284040
RNA5SP126,ENSG00000201962
RNU6-435P,ENSG00000206766
MIR515-2,ENSG00000207615
RNA5SP395,ENSG00000252376
Y_RNA,ENSG00000206706
RN7SL778P,ENSG00000272412
Y_RNA,ENSG00000202508
RNY3P1,ENSG00000201955
RNY4P13,ENSG00000207011
TSEN34,ENSG00000275165
U3,ENSG00000199666
RNU2-60P,ENSG00000253099
RNU6-1140P,ENSG00000222449
RNU1-29P,ENSG00000271739
SNORD60,ENSG00000206630
SNORA44,ENSG00000252840
U6,ENSG00000283262
SNORA84,ENSG00000239183
Y_RNA,ENSG00000201549
RN7SL152P,ENSG00000242102
Y_RNA,ENSG00000207209
SNORD113-3,ENSG00000201700
Y_RNA,ENSG00000252374
RNU6-748P,ENSG00000207378
Metazoa_SRP,ENSG00000277446
RNU6-860P,ENSG00000222792
RNA5SP330,ENSG00000252905
RNA5SP438,ENSG00000252370
RN7SL57P,ENSG00000242256
RNU6-304P,ENSG00000201725
MIR4325,ENSG00000266666
MIR1343,ENSG00000251862
SNORA48,ENSG00000252774
SNORA9,ENSG00000202231
U3,ENSG00000212182
RNU6-362P,ENSG00000252545
U3,ENSG00000221332
RNA5SP478,ENSG00000201527
MIR4524B,ENSG00000265331
SNORD113-1,ENSG00000202191
MIR6783,ENSG00000278223
AL662852.1,ENSG00000274063
U3,ENSG00000212539
MIR92B,ENSG00000284586
SNORA48,ENSG00000252824
MIR1180,ENSG00000221540
RNU6-1301P,ENSG00000199594
RN7SL75P,ENSG00000239908
NEAT1_1,ENSG00000278144
Y_RNA,ENSG00000200752
MIR512-1,ENSG00000207645
SNORA108,ENSG00000252284
RNU6ATAC5P,ENSG00000210839
MIR500B,ENSG00000239057
MIR548H3,ENSG00000221698
MIR4679-1,ENSG00000283664
MIR4775,ENSG00000284079
RNU1-33P,ENSG00000201119
RN7SL377P,ENSG00000266569
RNU6-1090P,ENSG00000200935
MIR611,ENSG00000284108
RN7SKP198,ENSG00000238324
SNORA70,ENSG00000251893
U2,ENSG00000273709
RNU1-79P,ENSG00000265223
RNU1-107P,ENSG00000252426
Metazoa_SRP,ENSG00000237611
Y_RNA,ENSG00000252217
MIR4420,ENSG00000264773
MIR30B,ENSG00000207582
RNU6-299P,ENSG00000253032
MIR4712,ENSG00000284284
AC012314.5,ENSG00000276220
MIR3118-4,ENSG00000265793
Metazoa_SRP,ENSG00000275257
RNU6-1229P,ENSG00000201165
RNA5SP259,ENSG00000202411
WT1-AS_8,ENSG00000277119
RNU6-257P,ENSG00000222170
pRNA,ENSG00000278775
U6,ENSG00000266375
snoU13,ENSG00000238694
Metazoa_SRP,ENSG00000278469
RNU4ATAC2P,ENSG00000221601
Y_RNA,ENSG00000239040
CoTC_ribozyme,ENSG00000221031
U3,ENSG00000199856
RNU5E-5P,ENSG00000202249
U1,ENSG00000273757
RN7SKP164,ENSG00000251947
7SK,ENSG00000266263
AC069542.1,ENSG00000280126
SNORD84,ENSG00000264591
RNU6-948P,ENSG00000252183
MIR652,ENSG00000208013
Metazoa_SRP,ENSG00000276800
SNORA40,ENSG00000252352
MIR892C,ENSG00000252219
MIR6074,ENSG00000276878
RNY1P6,ENSG00000206920
Metazoa_SRP,ENSG00000274357
MIR380,ENSG00000198982
Y_RNA,ENSG00000201547
snoU13,ENSG00000239129
RNA5SP402,ENSG00000252957
MIR4478,ENSG00000266583
MIR6880,ENSG00000275967
MIR7848,ENSG00000276961
MIR5002,ENSG00000266383
AC007325.2,ENSG00000277196
MIR4450,ENSG00000263445
Y_RNA,ENSG00000199290
OSCAR,ENSG00000274703
U6,ENSG00000277091
RNU6-27P,ENSG00000251955
Y_RNA,ENSG00000201012
U1,ENSG00000266689
MIR4514,ENSG00000265855
RN7SL644P,ENSG00000264313
RN7SL219P,ENSG00000265386
RNU4-62P,ENSG00000222057
Y_RNA,ENSG00000252621
RNU6-655P,ENSG00000199728
RNU6-1168P,ENSG00000212133
SNORA74,ENSG00000265733
uc_338,ENSG00000276873
Y_RNA,ENSG00000207481
SNORA24,ENSG00000206903
RNU6-333P,ENSG00000238669
RNU6-1074P,ENSG00000206722
RN7SKP62,ENSG00000207269
RN7SKP230,ENSG00000202512
RN7SL648P,ENSG00000265727
Y_RNA,ENSG00000202169
RN7SKP12,ENSG00000252084
U1,ENSG00000266884
RNA5SP25,ENSG00000222747
RN7SL149P,ENSG00000241834
RNA5SP106,ENSG00000253083
RNU6-892P,ENSG00000222267
Metazoa_SRP,ENSG00000275901
RN7SL202P,ENSG00000266627
RNA5SP119,ENSG00000199585
RNA5SP299,ENSG00000212505
RN7SKP100,ENSG00000223190
U6,ENSG00000283509
Metazoa_SRP,ENSG00000277055
U1,ENSG00000274208
SNORA33,ENSG00000200534
SNORD115-5,ENSG00000200503
Y_RNA,ENSG00000201351
RNA5SP467,ENSG00000212576
RNU6-784P,ENSG00000207058
RN7SKP13,ENSG00000251742
Y_RNA,ENSG00000207316
mascRNA-menRNA,ENSG00000274072
RN7SKP60,ENSG00000252794
RN7SL828P,ENSG00000272075
SNORD56,ENSG00000201151
RN7SKP144,ENSG00000223040
SNORD105,ENSG00000209645
RNY1P14,ENSG00000207155
RNU2-46P,ENSG00000252847
MIR7114,ENSG00000284317
RNU6-1145P,ENSG00000206973
MIR4441,ENSG00000264810
RN7SL300P,ENSG00000265813
MIR1254-1,ENSG00000221184
C20orf202,ENSG00000215595
VPS53,ENSG00000141252
RP11-554E23.2,ENSG00000258308
RP11-512N21.1,ENSG00000241917
CTC-455F18.3,ENSG00000253966
SCGB1C2,ENSG00000268320
RP4-668J24.2,ENSG00000261730
RP5-1077H22.2,ENSG00000276687
RP5-1077H22.1,ENSG00000278343
RP11-653B10.1,ENSG00000253503
GARSP1,ENSG00000262135
HNRNPA1P4,ENSG00000206228
AURKAPS1,ENSG00000213033
RP11-99J16__A.2,ENSG00000244137
MAPK4,ENSG00000282110
RP11-429H5.1,ENSG00000262892
RP3-340H11.2,ENSG00000217231
HYMAI,ENSG00000283122
RP11-402L5.2,ENSG00000253912
LEF1-AS1,ENSG00000232021
VPS13B,ENSG00000132549
AC018442.1,ENSG00000235683
RP4-682C21.5,ENSG00000178193
CTC-455F18.1,ENSG00000253348
GEMIN8P2,ENSG00000260451
STRIP2,ENSG00000128578
ZFAND1,ENSG00000104231
RP11-410L14.1,ENSG00000253180
ABCB10,ENSG00000135776
RP11-946P6.6,ENSG00000277595
B3GAT1,ENSG00000109956
PCNX3,ENSG00000197136
LINC01366,ENSG00000235172
HNRNPL,ENSG00000104824
RP11-305M3.2,ENSG00000238072
